所在区域,平均价格(元/平方),房屋类型,所在楼层,建筑面积,建筑类型,房屋朝向,装修情况,梯户比例,配备电梯,挂牌时间,上次交易时间,产权所属,抵押信息
3,24317,2室2厅1厨1卫,低楼层 (共33层),55.93,3,南,1,三梯八户,1,2018/12/25,2018/8/16,0.5,0.5
2,16939,2室2厅1厨1卫,高楼层 (共18层),91.51,2,南 北,0.5,两梯三户,1,2019/3/13,2017/5/8,0.5,1
14,18488,2室1厅1厨1卫,高楼层 (共45层),88.17,2,南,0.5,三梯五户,1,2019/4/9,暂无数据,1,0.5
14,20152,1室1厅1厨1卫,低楼层 (共33层),59.55,2,东,1,四梯二十六户,1,2019/3/28,暂无数据,0.5,1
3,24706,2室1厅1厨1卫,高楼层 (共34层),85,2,南,1,两梯四户,1,2019/2/22,暂无数据,1,1
6,12138,3室2厅1厨1卫,低楼层 (共6层),107.11,2,南,1,一梯两户,0,2019/3/29,2008/12/26,1,1
2,18116,1室0厅1厨1卫,中楼层 (共18层),35.88,3,东,1,两梯十六户,1,2019/4/5,2012/9/11,0.5,1
4,29687,2室2厅1厨1卫,低楼层 (共34层),90.95,2,南,1,两梯四户,1,2019/3/22,2019/9/7,1,0.5
3,19190,2室2厅1厨1卫,高楼层 (共34层),74,2,南,1,两梯五户,1,2019/4/14,暂无数据,1,0.5
1,21139,3室2厅1厨1卫,低楼层 (共24层),86.1,2,南,1,两梯四户,1,2019/3/18,2013/11/1,0.5,0.5
7,14197,3室1厅1厨1卫,低楼层 (共34层),112,2,南 北,0,两梯四户,1,2019/1/7,暂无数据,1,0.5
10,11644,2室2厅1厨1卫,低楼层 (共33层),73,2,东南,1,两梯四户,1,2019/2/26,暂无数据,0.5,0.5
14,23418,2室1厅1厨1卫,高楼层 (共48层),79,3,东,1,三梯八户,1,2019/3/20,2015/5/6,0.5,0.5
1,24418,2室2厅1厨1卫,低楼层 (共57层),79.86,2,南,1,五梯十户,1,2019/2/25,2017/1/13,1,0.5
1,16917,3室2厅1厨2卫,低楼层 (共6层),128.28,2,南 北,1,一梯两户,0.5,2019/4/5,2004/11/4,0.5,1
3,19840,3室2厅1厨1卫,低楼层 (共34层),110.89,2,南,1,两梯四户,1,2019/4/6,2017/1/20,1,0.5
5,11529,3室2厅1厨2卫,高楼层 (共31层),117.1,3,南 北,0.5,两梯四户,1,2019/2/22,2014/6/11,1,0.5
